计息,利息计算公式
还,国风・齐风・还
电话,电话机
客服,客户服务
能,能量
钱,钱姓
答案,阿伦・艾弗森
num,索纳拉姆・泰匹塔克
说,speak
月,月球
App,手机软件
那,那姓
多,多姓
建设银行,中国建设银行
知道,百度知道
元,元朝
比如,比如县
代,代国
满意,巨兴茂
时,时姓
人行,中国人民银行
20,二十
信号,signal
操,操姓
58,58同城
叫,叫姓
高,高姓
24,24小时
9,机器人9号
死,死亡女孩
新,新朝
一步,幕之内一步
年,年兽
APP,手机软件
改,改姓
自助,散客旅游
We,WE电子竞技俱乐部
尼玛,尼玛县
问问,SOSO问问
再见,克格勃无间事件
金,金朝
微笑,高学成
app,手机软件
农业银行,中国农业银行
草,赋得古原草送别
G7,北京－乌鲁木齐高速公路
帐号,账号
工商银行,中国工商银行
建行,中国建设银行
欢迎,杨欢迎
11,11对战平台
18,云雀恭弥
农行,中国农业银行
等等,邓涵之
干,干姓
关,单关
谢,谢姓
B,磁感应强度
多多,黄忆慈
鸡巴,阴茎
花,花卉
有限公司,有限责任公司
成,成汉
字,表字
三天,Three Days
张,张姓
由,仲由
做爱,性生活
工行,中国工商银行
毛,毛姓
iPhone7,iPhone 7
we,WE电子竞技俱乐部
清,清朝
QQ号,QQ账号
身份证号,居民身份证号码
a,安培
x,X-Japan
招行,招商银行
扣扣,QQ
官网,官方网站
大众,大众汽车
贵,贵州
分期付款,月供
邮箱,电子邮箱
27,泽田纲吉
月份,月
公测,公开测试
L,金明洙
信,苏见信
立马,立马车业集团有限公司
台,台湾
华润,华润（集团）有限公司
邮政储蓄,中国邮政储蓄银行
A,安培
祝,祝姓
最大,最强大脑
v,伏特
科技,科学技术
真实,real
老虎,虎
粒粒,陈粒
交行,交通银行
深圳市,深圳
b,磁感应强度
浦发,上海浦东发展银行
邮储,中国邮政储蓄银行
网银,网上银行
300,斯巴达300勇士
零,安室透
哥哥,张国荣
福,福姓
微微,奈菲鲁塔丽・薇薇
猪头,东风11G型内燃机车
重启,RELOADED
天后,武则天
人民银行,中国人民银行
闭嘴,你丫闭嘴
华夏,华夏银行
多大,多伦多大学
越,越国
l,金明洙
其他人,完美第二对
黑,黑龙江
单,单姓
神器,三神器
浦发银行,上海浦东发展银行
不能自己,不能自已
费,费姓
rose,德里克・罗斯
定海神针,如意金箍棒
..,点点
第二,第二姓
OK,创可贴
申,上海
黑名单,罪恶黑名单
安卓,Android
400,400电话
延长,延长县
通用,通用电气公司
永久,上海永久股份有限公司
智障,智力障碍
民生银行,中国民生银行
360,奇虎360
ok,创可贴
n,牛顿
微机,微型计算机
狗日,赤狗日
cn,.CN
微货,微型货车
Hi,碘化氢
淘宝,淘宝网
40,夏马尔
i,电流
解,解姓
统一,统一企业中国控股有限公司
安,安培
银,坂田银时
车,车姓
几率,概率
分手,分手男女
国庆,国庆节
何,何姓
帅,帅姓
光大银行,中国光大银行
型,style
听障,重听人
w,W-两个世界
戴,戴姓
wechat,微信
救命,火车
神马,神圣罗马帝国
小孩,曾卓君
人人,人人网
X,X-Japan
大成,DAESUNG
兄弟,华谊兄弟传媒集团
所有人,权利人
冷,冷姓
大陆,中国大陆
手机卡,SIM卡
网,网络
锤子,锤子手机
申通,申通快递
明,明朝
m,摩尔质量
iPhone7Plus,iPhone 7 Plus
银联,中国银联
五月,5月
月亮,月球
兴业,兴业银行
商城,商城县
东东,bravo东东
子,子姓
耳朵,耳
零点,零点乐队
u,铀
源,清和源氏
Z,泽法
红,红色
央行,中央银行
重,奥摩伊
国美,国美电器
h,氢
三月,巳月
V,伏特
花都,巴黎
e,自然常数
sb,锑
种,种姓
f,氟
六个月,那个傻瓜
方,方姓
未知,不明身份
断,加藤断
SB,锑
圣诞,圣诞节
W,W-两个世界
ma,移动平均线
秘密,女人的秘密
二笔,二笔输入法
周围,钟晓
嘎嘎,Lady Gaga
汗,可汗
阳光,王惠
j,转动惯量
卡卡,里卡多・伊泽克森・多斯・桑托斯・雷特
pd,钯
处女,室女座
首脑,大头目
r,卢卡尔・伯恩斯坦
转圈,第二次人生
拍拍,拍拍二手
人类,智人
孙子,孙武
五一,五一国际劳动节
250,硫酸铜
传说,远古的传说
C,c语言
I,电流
85,碧洋琪
曾,曾姓
刘,刘姓
胜利,SEUNGRI
保单,保险单
汇添富,汇添富基金管理股份有限公司
大都,元大都
常,常姓
六月,蔡君茹
边,边姓
jj,林俊杰
华为,华为技术有限公司
王,王姓
黄,黄姓
时代,时代周刊
花花,华晨宇
死机,宕机
陌生,忘了去懂你
李,李子
装逼,装B
56,56网
iphone7,iPhone 7
深,深圳
周,周朝
方正,北大方正集团有限公司
感冒,上呼吸道感染
普通人,英伦对决
头疼,头痛
社保,社会保险
屁眼,肛门
林,林姓
N,牛顿
助手,牧濑红莉栖
z,泽法
支,支姓
二十天,二十诸天
利息率,利率
打击,我的野蛮女同学
联通,中国联合网络通信集团有限公司
84,巴吉尔
二月,2月
c,c语言
,哈密顿算子
凉,宫田由美子
完美,完美（中国）有限公司
阿里,穆罕默德・阿里
U,铀
英文,英语
杨,杨姓
机率,概率
胖子,王胖子
山,喜马拉雅山脉
JJ,林俊杰
云,云南
oa,办公自动化
联盟,间谍同盟
VIP,V.I.P.
轻,卡鲁伊
黑白,围棋
顾,顾姓
喵,喵星人
胡,胡姓
商,商朝
黑屏,电脑黑屏
电信,中国电信集团有限公司
藏,西藏
马勒,古斯塔夫・马勒
生肖,十二生肖
书,尚书
白白,边伯贤
农,阿洛伊斯・农
二号,2号
一夜,一夜・汪德雷・寿
清新,清新区
ATM,自动取款机
罗,特拉法尔加・罗
距离,再见，在也不见
＼,反斜杠
怀孕,妊娠
阿里巴巴,阿里巴巴集团
E,自然常数
PK,我的个神啊
tencent,腾讯
windows,Windows操作系统
车险,机动车辆保险
东吴,孙吴
65,65游戏
网购,网上购物
广大,广州大学
期望,数学期望
甘,甘肃
广东省,广东
蛋蛋,早安蛋蛋
国华人寿,国华人寿保险股份有限公司
千万,杨千万
信而富,上海信而富企业管理有限公司
32,三十二相
爱不爱,爱，不爱
修,陈德修
笨笨,高虎
旅途,风之旅人
MM,多发性骨髓瘤
hi,碘化氢
心意,心意手机
镇,镇姓
取款机,自动取款机
cv,航空母舰
冯,冯姓
WE,WE电子竞技俱乐部
乜,乜姓
第五,第五姓
弓,最终兵器：弓
de,沙漠之鹰
苏宁,苏宁云商集团股份有限公司
小丽,乌拉拉
卜,卜姓
vip,V.I.P.
小马,周润发
520,网络情人节
娃娃,金智娟
病毒,计算机病毒
重大,重庆大学
七月,国风・豳风・七月
拉拉,拉布拉多猎犬
蒙,蒙城县
阿西,陈博正
信征,征信
黄钻,qq空间黄钻贵族
侮辱,侮辱罪
平果,平果县
999,红色警戒999
狗狗,狗
无缘无故,一路狂奔
蓝,蓝姓
东川,东川区
吴,苏州
解放军,中国人民解放军
余,余姓
任,任姓
M,摩尔质量
阿狸,九尾妖狐
NO,一氧化氮
一大,中国共产党第一次全国代表大会
翼,翼-RESERVoir CHRoNiCLE-
188,188邮箱
银监会,中国银行业监督管理委员会
陈,陈姓
低调,低调组合
QB,Q币
定存,定期存款
天地,李赞熙
派,圆周率
上证,上海证券交易所
li,锂
mm,多发性骨髓瘤
点点,点点网
LG,LG集团
RTX,RTX腾讯通
卡锁,智能卡门锁
卡拉,克拉
lol,英雄联盟
死光,激光
上班族,公司职员
肯,奥特之父
大便,粪便
小马哥,马克・扎克伯格
易,易经
愤怒,怒
金融业务,金融服务业务
LOL,英雄联盟
汤,商汤
侯,侯姓
命运,c小调第五交响曲
五笔,五笔字型输入法
令,吉吉如律・令
风控,风险控制
sun,Sun Microsystems
回乡证,港澳居民来往内地通行证
孙,孙姓
兔子,兔
股市,股票市场
齐,北齐
外星人,罗纳尔多・路易斯・纳扎里奥・达・利马
qb,Q币
C3,C3驾驶证
欧,欧姓
BB,BIGBANG
间隔时间,时间间隔
430,骆非池
love,凯文・乐福
上交,上海交通大学
阿拉,安拉
37,37游戏
国务院,中华人民共和国国务院
阿克,纳坦・阿克
笑笑,孙亚龙
bb,BIGBANG
工商行,中国工商银行
机器猫,哆啦A梦
大年初一,正月初一
华,华姓
和平,和平区
P2P,对等网络
jb,林在范
卞,卞姓
经验,百度经验
霸王,项羽
解除合同,劳动合同解除
大方,大方县
万达,大连万达集团股份有限公司
端午,端午节
储存卡,存储卡
可可,张可盈
APp,手机软件
傻冒,傻帽
图图,胡图图
舌头,舌
阿萨德,巴沙尔・阿萨德
J,转动惯量
遗忘,遗落战境
moon,月球
桐庐,桐庐县
前海,前海深港现代服务业合作区
TD,蒂姆・邓肯
108,一百单八将
pp,聚丙烯
外国人,英伦对决
放高利贷,高利贷
董,董姓
智能机,智能手机
电脑系统,操作系统
底线,国家底线
河南省,河南
wifi,Wi-Fi
飞机票,机票
美美,太刀川美美
清明,清明节
歪歪,YY语音
IT,个人所得税
土豆,土豆网
秦,陕西
儿童节,国际儿童节
兜,药师兜
鲁,山东
裸照,裸体照片
一家人,我们是一家人
一汽,中国第一汽车集团有限公司
西安市,西安
夏天,王紫璇
金子,黄金
资管,集合资产管理
辽宁,辽宁号航空母舰
点点滴滴,蘑菇点点滴滴
re,铼
成工,四川成都成工工程机械股份有限公司
拼音,汉语拼音
影子,张傲嘉
比比,奈菲鲁塔丽・薇薇
公里,千米
顺德,顺德区
78,78创业商机网
卫士,守卫者
徐,徐州
贵宾,贵宾犬
户口本,户口簿
高考,普通高等学校招生全国统一考试
大名,大名县
师傅,师父
小白,安德雷斯・伊涅斯塔
涂,涂姓
丝,苏
安全隐患,事故隐患
奥巴马,贝拉克・侯赛因・奥巴马
田,田姓
纹身,文身
脑瘫,小儿脑性瘫痪
沃尔玛,沃尔玛百货有限公司
范,范姓
性爱,性生活
ps,Adobe Photoshop
电联,国际电信联盟
大叔,孤胆特工
迷糊,迷糊老师
细小,犬细小病毒
崔,崔姓
福建省,福建
清代,清朝
再试一次,try
郭,郭姓
河北省,河北
大专,专科
双色球,中国福利彩票双色球
小冰,微软小冰
赖,赖姓
台胞证,台湾居民来往大陆通行证
邮局,邮政局
春晚,中央电视台春节联欢晚会
111,高等学校学科创新引智计划
超人,奥特曼
Ok,创可贴
H,氢
国企,国有企业
东北,东北地区
jump,周刊少年JUMP
美的,美的集团
act,动作游戏
,户
珍爱,珍爱人生
次贷,次级抵押贷款
小李,李洛克
index,茵蒂克丝
非法操作,不可思异
内蒙,内蒙古
苏,苏州
的士,出租车
陕西省,陕西
96,库洛姆・髑髅
反抗,反抗军
谷歌,Google
发条,发条魔灵
慰藉,通灵神探
家族,CLANNAD
木马,木马病毒
基地,“基地”组织
豹子,豹
江苏省,江苏
宵夜,夜宵
g7,北京－乌鲁木齐高速公路
起点,起点中文网
粉刺,痤疮
牛头,牛头人
钓鱼,钓鱼执法
唐,唐朝
小花,解语花
高昂,高敖曹
cf,穿越火线：枪战王者
磁条卡,磁卡
朱,朱姓
985,985工程
HK,香港
遇,遇姓
党,党姓
新建,新建区
出口,兔子洞
kai,金钟仁
楚,楚国
ios6,ios 6
社保卡,中华人民共和国社会保障卡
龟,龟鳖目
飞车,QQ飞车
银行账,银行存款日记账
AI,人工智能
大吉大利,灵魂摆渡
天津市,天津
广州市,广州
R,卢卡尔・伯恩斯坦
{,括号
封锁,太空一号
腾迅,腾讯
芈,芈姓
陷阱,食人猪
小便,尿
p2p,对等网络
丫丫,佟丽娅
许,许姓
解除限制,限制解除
circle,Circle：相连的两个世界
F,氟
大乐透,中国体育彩票超级大乐透
银子,白银
熊猫,大熊猫
毛毛,丫蛋
空格,Blank Space
季节,壮志凌云
凤凰,凤凰古城
艾玛,艾玛・沃特森
保安,保安族
山西省,山西
瓦,瓦特
吕,姜子牙
类推,类比推理
口爆,口内射精
4s,4s店
火星人,火星救援
if,IF设计奖
鬼鬼,吴映洁
显示卡,显卡
元代,元朝
鹅鹅鹅,咏鹅
浙江省,浙江
步步高,广东步步高电子工业有限公司
亚美,水野亚美
中国移动,中国移动通信集团公司
高达,机动战士高达
大头,大发明家
猪婆,唐雪见
晶晶,福娃晶晶
阿卡,卡拉什尼科夫自动步枪
wp,Windows Phone
中建,中国建筑工程总公司
86,三浦春
艾,艾草
汪,汪姓
七年,九年
年化率,年化利率
PC,个人计算机
呆呆,蒂姆・邓肯
六一,国际儿童节
１,1
博士,Bose
顺丰,顺丰速运
ge,通用电气公司
一本,普通高等学校招生全国统一考试招生录取批次
no,一氧化氮
ai,人工智能
大海,大鱼海棠
够快,够快网盘
港,香港
富裕,富裕县
微星,MSI
肖,肖姓
照度,光照强度
鼻子,鼻
安利,Amway
yao,姚铮铮
03,电流
蔡,蔡姓
蔡,蔡姓
黄豆,大豆
中山市,中山
凯,迈特凯
里程,冯秉诚
手游,手机游戏
阿斯顿,大八
后代,后人
青春痘,痤疮
WiFi,Wi-Fi
忍,甲贺忍法帖
game,堕天使
绑架,在劫难逃
赵,赵国
创维,创维集团有限公司
酷跑,跑酷
atm,自动取款机
网通,中国网络通信集团公司
羯,羯族
小哥,齐秦
sn,锡
cp,配对
实习生,加油吧实习生
别处,在其他的某个地方
相机,照相机
为人处事,为人处世
as,强直性脊柱炎
波波,波波先生
得瑟,N瑟
马币,林吉特
ApP,手机软件
不降,姒不降
物理,物理学
南区,南区街道
si,国际单位制
正月,小雅・正月
aPP,手机软件
科研,科学研究
北门,国风・邶风・北门
555,555定时器
北京市,北京
up,飞屋环游记
放肆,放肆乐队
良,张良
CF,穿越火线：枪战王者
天大,天津大学
江西省,江西
乐乐,丁凯乐
320,空中客车A320
程,程姓
DV,达斯・维达
JB,林在范
171,米-171直升机
圆圆,大熊猫圆圆
卫,卫青
jd,京东
贝贝,福娃贝贝
CEO,首席执行官
吉林省,吉林
宁波市,宁波
贷记卡,信用卡
替代,此生当别生
美团,美团网
胡子,胡须
表哥,杨达才
可靠性,产品可靠性
工资收入,工资性收入
商贷,商业贷款
杨颖,Angelababy
韦,韦姓
五一节,五一国际劳动节
罗嗦,嗦
少女,京城学校：消失的少女们
童,童姓
魏,北魏
天涯,天涯社区
勇敢,勇敢传说
传奇,热血传奇
矿大,中国矿业大学
建军节,八一建军节
CC,张柏芝
√,对勾
战斗机,歼击机
pptv,PP视频
夏,夏朝
‰,千分号
pk,我的个神啊
大有,大有镇
公安,公安县
佛山市,佛山
安倍,安倍晋三
拉肚子,腹泻
邓,邓姓
信报,北京娱乐信报
千里,千岁千里
白话,粤语
is,伊斯兰国
驾照,驾驶证
云南省,云南
la,洛杉矶
iphone7plus,iPhone 7 Plus
湖南省,湖南
黑龙江省,黑龙江
Ali,穆罕默德・阿里
恶露,产后恶露不尽
唐山市,唐山
湖北省,湖北
贵州省,贵州
工商局,工商行政管理局
孟,孟姓
毕,毕姓
劳动节,五一国际劳动节
挑战,新挑战
统计局,中华人民共和国国家统计局
背叛,黑三角
口活,口交
饶,饶姓
小猪,罗志祥
羞辱,耻辱
瓦特,詹姆斯・瓦特
现金流,现金流量
西北,中国西北地区
雨天,雨宗林
卓越,亚马逊中国
七夕,七夕节
等于号,等号
乙肝,慢性乙型肝炎
口气,口臭
居民身份证,中华人民共和国居民身份证
PE,市盈率
风雨,国风・郑风・风雨
公交,公共交通
卑鄙,Mean
阿里郎,阿里郎组合
图灵,艾伦・麦席森・图灵
appstore,App Store
梅西,里奥・梅西
中专,中等专业学校
龙华,龙华镇
珊,幽灵公主
棒棒糖,卫佳莹
picc,中国人民财产保险股份有限公司
四川省,四川
FBI,美国联邦调查局
183,183club
Wifi,Wi-Fi
小强,地穴领主
81,库洛姆・髑髅
好男儿,加油！好男儿
na,钠
校招,校园招聘
Apple,苹果公司
马路,马赫
3.15,国际消费者权益日
辽,辽宁
飞碟,不明飞行物
PPTV,PP视频
唯美,唯美主义
沪,上海
乐天,乐天集团
世界末日,绝世天劫
经济学家,经济学人
联想,联想集团
智,智姓
光明,光明乳业股份有限公司
测试数据,数据库测试
798,798艺术区
彬彬,westlife
章,章姓
315,国际消费者权益日
万科,万科企业股份有限公司
i7,酷睿i7
杜,杜姓
touch,棒球英豪
逆袭,逆袭之爱上情敌
老婆婆,罗伯罗夫斯基仓鼠
基佬,男同性恋
合肥市,合肥
辽宁省,辽宁
卢,卢姓
扑克牌,扑克
不二,不二周助
萧萧,萧希榆
首贷,首套住房贷款
日月,国风・邶风・日月
小雨,孙怡
关怀,关栋天
含笑,含笑花
利好,利多
IE,Internet Explorer
露露,娜可露露
霍,霍去病
大汉,汉朝
期行,陈太丘与友期
小女孩,彩象岛女孩
麦,麦姓
冰冰,郑靓歆
郝,郝姓
he,氦
贾,贾姓
北方,北方地区
条码,条形码
财神爷,财神
DNF,地下城与勇士
元宵,元宵节
iPhone7plus,iPhone 7 Plus
里花,立花里子
错字,错别字
Be,铍
沟通交流,沟通与交流
煎饼果子,煎饼子
4S,4s店
蒋,蒋姓
龙岗,邢台
ladybug,小瓢虫
天全,天全县
玲,铃
莉莉,严莉莉
弹琴,听弹琴
火箭,休斯敦火箭队
乔丹,迈克尔・乔丹
美金,美元
广东话,粤语
奥运,奥林匹克运动会
大马,马来西亚
负债率,资产负债率
打不死,华南马尾杉
平安保险,中国平安保险（集团）股份有限公司
将计就计,偷天陷阱
户县,邑区
OMG,OMG电子竞技俱乐部
翁,翁姓
VB,Visual Basic
永恒,不死法医
新安,新安县
猎人,全职猎人
阴,阴姓
幸运儿,幸运符
上海市,上海
小星星,徐娇
玛丽,布鲁・玛丽
温,温姓
烟花,升起的烟花，从下面看？还是从侧面看？
末日,毁灭日
甘肃省,甘肃
人民法院,中华人民共和国人民法院
虾米,虾米网
韩剧,韩国电视剧
宁,南京
oK,创可贴
大闸蟹,中华绒螯蟹
卓,卓姓
牙疼,牙痛
启,姒启
肾亏,肾虚
211,211工程
cli,命令行界面
黑人,陈建州
韩,韩国
科比,科比・布莱恩特
权志龙,G-DRAGON
济南市,济南
西游,西游・降魔篇
俞,俞姓
江门市,江门
梅花,梅
GM,通用汽车公司
安徽省,安徽
金饰,北齐金饰
娄,娄姓
翅膀,隐形的翅膀
小威,塞雷娜・威廉姆斯
索,索姓
雨来,雨来没有死
桂,广西
伊,伊尹
狗头,沙漠死神
盛大,上海盛大网络发展有限公司
珠海市,珠海
福田,福田区
020,O2O
刑拘,刑事拘留
毛主席,毛泽东
小金,小金县
VC,维生素c
丫头,詹子晴
欧诺,长安欧诺
德州市,德州
cc,张柏芝
世界杯,国际足联世界杯
重庆市,重庆
石昊,荒天帝
it,个人所得税
东湖,武汉东湖风景区
农达,萨巴尼・农达
客都,世界客都
符,符
无为,无为县
建华,建华区
π,圆周率
谭,谭姓
zZ,宇智波佐助
余姚市,余姚
汪汪,汪逸甯
马尾,马尾区
天龙,AWM-天龙
lz,龙珠战队
biz,biz域名
dmi,DMI指标
妇女节,国际劳动妇女节
紫外线,致命紫罗兰
糖糖,砂糖
爷们,爷们儿
JS,javascript
红十字会,红十字国际委员会
ef,英孚教育
泄,姒泄
巨魔,魔发精灵
WIFI,Wi-Fi
苏苏,百里屠苏
5.12,5・12汶川地震
老赖,失信被执行人
夕,年兽
曹雨生,段
山东省,山东
XP,Windows XP
燕,燕国
加利,布特罗斯・布特罗斯-加利
提摩西,提木西草
娃哈哈,杭州娃哈哈集团有限公司
信审,信用审计
4.14,4・14
iu,李知恩
No,一氧化氮
茄子,茄
例假,月经
丹丹,丹迪
全网,中国全网
email,电子邮件
光荣,光荣株式会社
工服,工作服
吉,吉林
六合,六合区
小天鹅,无锡小天鹅股份有限公司
四级,大学英语四级考试
dB,数据库
如家,如家酒店
当机,宕机
八戒,猪八戒
躲避,隐藏摄像机
海贼王,航海王
人流,人工流产
SJ,Super Junior
手淫,自慰
华西,华西村
PS,Adobe Photoshop
sha,SHA家族
多利,X・德雷克
自卑,自卑感
女排,女子排球
CD,克罗恩病
key,key社
模,范数
报应,迷途追凶
in,铟
汕头市,汕头
披萨,比萨
考研,全国硕士研究生统一招生考试
X5,宝马X5
哈利,哈利・波特
搜噶,Soga
微盘,新浪微盘
m3,梦三国
勇士,金州勇士队
内蒙古自治区,内蒙古
ppt,Microsoft Office PowerPoint
假牙,义齿
卡恩,宿命者・卡恩
银号,钱庄
癌,癌症
老爹,爱德华・纽盖特
通辽市,通辽
武汉市,武汉
持有人,权利人
武,武姓
性饥渴,性压抑
中国电信,中国电信集团有限公司
内存卡,存储卡
一帆风顺,白鹤芋
外贸,对外贸易
网易,网易公司
仙居,仙居县
木木,王宝强
东莞市,东莞
包青天,包拯
二本,普通高等学校招生全国统一考试招生录取批次
恒大,广州恒大淘宝足球俱乐部
751,751D・PARK北京时尚设计广场
CBD,中央商务区
卡巴,哈吉・艾哈迈德・泰詹・卡巴
乔,乔姓
UD,特拉华大学
小胖,钱志君
pc,个人计算机
二三,金田一二三
be,铍
央视,中国中央电视台
袁,袁姓
姚,姚姓
萍,浮萍
MC,镆
A4,奥迪A4
著,国风・齐风・著
联众,北京联众互动网络股份有限公司
提莫,迅捷斥候
危,危姓
ti,DOTA2国际邀请赛
邹,邹姓
坎,埃姆雷・坎
大巴,蒙克・巴特尔
国民党,中国国民党
DB,数据库
太原市,太原
抚顺市,抚顺
长途车,长途汽车
鸡头,崆峒山
耳屎,耵聍
跑跑,跑跑卡丁车
TT,Tizzy T
武士,勇士
尿床,遗尿症
小黑,柯受良
赣,江西
王氏,王姓
TUT,太原理工大学
轮回,诛仙第二部
福大,福州大学
B2,B-2轰炸机
人大,中国人民大学
try,T.R.Y
回坊,回民街
萨芬,马拉特・萨芬
黑卡,美国运通百夫长黑金卡
502,502胶水
考拉,树袋熊
番禺,番禺区
有客,周颂・有客
秦氏,秦姓
元素,化学元素
星空,星月夜
乘客,太空旅客
猴币,2016年贺岁普通纪念币
布偶,布偶大电影
环钱,圜钱
尚,尚姓
移动电话,手机
大话,大话西游Ⅱ
nm,内蒙古
太古,太谷县
江,江姓
颜,颜姓
北大,北京大学
Qb,Q币
同人,同人卦
汉,武汉
IQ,智商
无线网,无线网络
贺,贺姓
三大,中国共产党第三次全国代表大会
本经,神农本草经
霸道,普拉多
史,史姓
三生,三生（中国）健康产业有限公司
武警,中国人民武装警察部队
痘痘,痤疮
微整,微整形
易方达,易方达龙宝货币市场基金
天赋,天才少女
地狱,但丁密码
揭阳市,揭阳
联通公司,中国联合网络通信集团有限公司
邱,邱姓
长沙市,长沙
高校,高等学校
石阡,石阡县
网红,网络红人
孔,孔姓
步步,滨崎步
单机,单机游戏
月均,月平均
射手,射手座
将军,将・军
天河,天河区
潘,潘姓
÷,除号
旅程,旅程：布莱尔回忆录
康,康姓
闫,闫姓
怪兽,温尚翊
rtx,RTX腾讯通
东区,东区街道
斗牛,斗牛犬
一个男孩,单亲插班生
仇,仇姓
寒,蔡芷纭
南门,南门姓
发芽,sprout
ì,电流
韦德,德怀恩・韦德
北戴河,北戴河区
747,波音747
可卡,可卡犬
鹿,鹿科
及时雨,宋江
民警,人民警察
辽宁沈阳,沈阳
鳄,鳄鱼
挖币,比特币挖矿机
619,雷・密斯特里奥
八路,八路军
碧桂园,碧桂园集团
阿达,阿达・洛芙莱斯
四方,四方区
代后,兹伏奇・大吾
三无,三无少女
管委会,管理委员会
洛克,洛克・霍华德
MP5,MP5冲锋枪
林肯,亚伯拉罕・林肯
脸书,Facebook
PPT,Microsoft Office PowerPoint
阿兰,阿兰・达瓦卓玛
沃,伊夫林・沃
梁,梁姓
悟空,西游记之大圣归来
白虎,薛仁贵
鄞州,鄞州区
不朽,不朽大师
吊丝,潘
Sb,锑
疾风,月光疾风
广西南宁,南宁
边缘,势不两立
政协,中国人民政治协商会议
新兴,新兴县
西北地区,中国西北地区
赣州市,赣州
豆瓣,豆瓣网
超大,超级大本营
叮当,谢昀杉
劫,影流之主
西门,西门姓
郑州市,郑州
肥胖,单纯性肥胖
柳,柳姓
西南,西南地区
海宽,海宽禅师
婆婆妈妈,当婆婆遇上妈
tenpay,财付通
比登,约翰・比登
喉咙痛,咽喉痛
泡面,方便面
张家口市,张家口
生殖器官,生殖器
二战,第二次世界大战
华府,华盛顿哥伦比亚特区
乳交,半身性交
艺龙,艺龙旅行网
赵晶,赵彦乔
a4,奥迪A4
岳,岳：冰峰救援
晕车,晕动病
阳历,太阳历
贷资,资贷
dnf,地下城与勇士
詹,埃姆雷・坎
台币,旧台币
施,施姓
青田,青田县
蓉,成都
瑶瑶,郭书瑶
三八节,国际劳动妇女节
芊芊,卢小娟
UK,英国
甘肃兰州,兰州
大哥大,洪金宝
公文,公务文书
串口,串行接口
农信社,农村信用合作社
赛罗,赛罗・奥特曼
帮贷,贷帮网
甜心,李欣汝
凯撒,盖乌斯・尤利乌斯・恺撒
zn,锌
血癌,白血病
日向,日向一族
石化,石油化学工业
白牙,旗木佐云
闪光,猎空
星际,星际争霸
饮酒,饮酒二十首
青海省,青海
WC,碳化钨
平定,平定县
朵朵,罗梓琳
人生大事,错爱3
兰西,兰西县
故宫,北京故宫
康师傅,康师傅控股有限公司
PP,聚丙烯
库珀,布莱德利・库珀
中国政府,中华人民共和国中央人民政府
大宝,北京大宝化妆品有限公司
宝安,宝安区
