计息,利息计算公式
AG,银
安化,安化县
crash,撞车
十九世纪,19世纪
渭城,渭城区
goes,地球静止环境业务卫星
黑痣,色素痣
流川,流川枫
圆葱,洋葱
建阳,建阳区
台山市,台山
台独,台湾独立运动
茂名市,茂名
都江堰市,都江堰
龙海市,龙海
小鱼儿,沙俊良
包头市,包头
若风,禹景曦
lv,路易威登
exe,可执行程序
guy,盖・里奇
紫云,紫云苗族布依族自治县
红叶谷,红叶谷生态文化旅游区
桌球,台球
mj,迈克尔・杰克逊
粟,小米
文革,文化大革命
日杂,杂货
阴阳人,小儿两性畸形
剑及履及,剑及屦及
西溪,西溪国家湿地公园
舟山市,舟山
黑格尔,格奥尔格・威廉・弗里德里希・黑格尔
大喜之日,结婚纪念日
周董,周杰伦
米国,美国
张家港市,张家港
房管,房g
肠胃炎,胃肠炎
家庭教师,家庭教师HITMAN REBORN!
弯弯,胡家玮
花龟,中华花龟
西樵,西樵镇
FIBA,国际篮球联合会
刺秦,荆轲刺秦王
金沙,金沙江
大牙,周宜霈
华口,华口村
紫金,紫金山
DC,DC漫画
二次方,平方
民企,民营企业
格罗姆,格罗姆・地狱咆哮
视频压缩,视频编码
阿联,易建联
工程进度,工程形象进度
撒哈拉,撒哈拉沙漠
geek,极客
天道,佩恩
宜章,宜章县
崔胜贤,T.O.P
聚合物,高分子化合物
保监会,中华人民共和国保险监督管理委员会
EI,工程索引
秦皇岛市,秦皇岛
bang,裴俊植
卡斯帕罗夫,加里・卡斯帕罗夫
天秤,天平
魂,黑伤・魂
深海,余则成
黄州,黄州区
HI,碘化氢
农地,农用地流转
仓鼠,仓鼠亚科
汉阳,汉阳区
打机,打印机
常山,常山县
焱,焱妃
tui,文本用户界面
鲍,鲍姓
团委,中国共产主义青年团委员会
刀妹,艾瑞莉娅
希尔顿,帕丽斯・希尔顿
脱臼,关节脱位
k1,K-1
幕,幕后凶手
骑士,克利夫兰骑士队
王兰,王澜
克林顿,威廉・杰斐逊・克林顿
漳州市,漳州
猪扒,猪排
哥伦布,克里斯托弗・哥伦布
红掌,花烛
科斯塔,迭戈・科斯塔
省级,省部级
线路板,电路板
韶关市,韶关
成田,成田市
fs,法师
mM,多发性骨髓瘤
吴江,吴江区
BBS,电子公告牌系统
CNN,美国有线电视新闻网
熟石灰,氢氧化钙
天选,命定女王
华科,华中科技大学
马赛克,锦砖
地丁,地丁草
安理会,联合国安全理事会
王小明,李小狼
哈维,哈维・埃尔南德兹・克雷乌斯
vc,维生素c
上海市浦东新区,浦东新区
蔑视,轻蔑
wE,WE电子竞技俱乐部
六盘水市,六盘水
梨花,古手梨花
滚石,滚石国际音乐有限公司
青山,青山区
望海,望海的女人
搅基,搞基
大元,元朝
王村,芙蓉镇
德马,托马
徐工,徐州工程机械集团有限公司
宁晋,宁晋县
玛莎,蔡升晏
iPhone6plus,iPhone 6 Plus
jiqing,激情
黄龙,黄龙风景名胜区
a3,Q235
邢台市,邢台
杲,杲姓
卡萨丁,虚空行者
iF,IF设计奖
从江,从江县
金像奖,奥斯卡金像奖
名山,名山区
MJ,迈克尔・杰克逊
酒泉市,酒泉
EB,不列颠百科全书
fang,培查雅・朝哇里
美凯龙,红星美凯龙家居集团股份有限公司
马航,马来西亚航空公司
老鼠会,金字塔销售计划
小嘎,则卷宝瓜
金信,金信网
屏保,屏幕保护
台湾地区,台湾
吊瓜,栝楼
黄线,中心黄色虚实线
fox,Mozilla Firefox
父山,父・山
ld,镭射影碟
腊八,腊八节
东门,东门姓
貂禅,貂蝉
高数,高等数学
Coco,李玟
慈济,慈济慈善事业基金会
笛,笛子
嘎啦,蛤蜊
香洲,香洲区
钱王,钱H
F6,F-6战斗机
考驾照,驾驶证考试
新天地,上海新天地
影儿,刘影
宝坻,宝坻区
幼师,幼儿教师
etf,交易型开放式指数基金
高新区,高新技术产业开发区
海富通,海富通基金管理有限公司
罗林,刀郎
淡水,淡水街道
文成,文成县
USA,美国
岗前,岗前村
亚历山大,亚历山大大帝
麦当娜,麦当娜・西科尼
绿园,绿园区
小星,国风・召南・小星
隽,通城县
即墨,即墨区
月影,美丽石莲花
歌唱,欢乐好声音
PLL,美少女的谎言
东山,东山岛
连城,宫锁连城
本菲卡,本菲卡足球俱乐部
库克,蒂姆・库克
二姐,田姐辣妹
拉稀,腹泻
哈鲁,哈鲁・葛罗利
ipone,iPhone
阿敏,伊迪・阿明
活塞队,底特律活塞队
东方航空,中国东方航空股份有限公司
863,国家高技术研究发展计划（863计划）
司局级,厅局级
孔明,诸葛亮
榆林市,榆林
埋葬,活埋
白线,萎缩纹
上海大众,上海大众汽车有限公司
Copyright,版权
pm,PM项目管理
月经不调,月经失调
sodium,钠
德克勒克,弗雷德里克・威廉・德克勒克
多肉,多肉植物
求凰,凤求凰
恩里克,路易斯・恩里克
临漳,临漳县
蓝月亮,曼彻斯特城足球俱乐部
tk,丰子恺
柔柔,小蝶
美国大学,美利坚大学
切尔西,切尔西足球俱乐部
,升
国安局,美国国家安全局
瑞风,江淮瑞风
河豚鱼,河
库车,库车县
福王,朱常洵
钦州市,钦州
中国人民保险公司,中国人民保险集团股份有限公司
,钅
长大成人,长大后
幼稚园,幼儿园
唐家湾,唐家湾镇
大埔,大埔县
余新,余新镇
爱美,寺川爱美
As,强直性脊柱炎
mx,魅族MX
双子,镜音双子
蜀山,新蜀山剑侠
诺诺,陈墨瞳
麦克,麦克风
东农,东北农业大学
东站,广州东站
阿娇,钟欣潼
歌德,约翰・沃尔夫冈・冯・歌德
田鸡,虎纹蛙
僚,吴王僚
东岳庙,岱庙
台州市,台州
鄯善,鄯善县
凤阳,凤阳县
情有独钟,缘分天注定
不可抗力,不可抗力之男仆的秘密
bt,包头
遵义县,播州区
Ms,微软
豆果,豆果网
中共,中国共产党
道祖,太上老君
乐善,伊勒忒・乐善
布林,谢尔盖・布林
abs,防抱死制动系统
馍馍,馒头
mol,摩尔
狮,狮子
韩文,谚文
皇城,南京故宫
制定方案,绩效考核方案制定
新洲,新洲区
中央军委,中华人民共和国中央军事委员会
SQL,结构化查询语言
潮阳,潮阳区
英国曼彻斯特大学,曼彻斯特大学
夏目,夏目贵志
临汾市,临汾
梁翠萍,梁静茹
永不言败,贾斯汀・比伯：永不言败
德彪西,克劳德・德彪西
大公,姜子牙
奥运会,奥林匹克运动会
CIA,美国中央情报局
花月,风鸟院花月
paa,聚丙烯酸
中通,中通快递
盲点,弱点
瑞丽市,瑞丽
海格,鲁伯・海格
阿飞,飞
民歌节,南宁国际民歌艺术节
内马尔,内马尔・达席尔瓦
wps,WPS OFFICE
简爱,简・爱
oicq,QQ
安新,安新县
ng,硝化甘油
呼转,呼叫转移
托斯卡纳,托斯卡纳大区
HPV,人乳头瘤病毒
小兔,兔
上有老下有小,小爸妈
开水,白开水
伊利,内蒙古伊利实业集团股份有限公司
gem,邓紫棋
Dell,戴尔公司
启示,启示录
肖邦,弗里德里克・肖邦
青花,青花瓷
甲壳虫,The Beatles
湘西,湘西土家族苗族自治州
锐步,REEBOK
I,两
天等,天等县
w,真
黑大,黑龙江大学
三叔,吴三省
unified,一元化
江源,江源区
风湿,风湿病
城运会,中华人民共和国城市运动会
大桥,南京长江大桥
vfc,电压频率转换器
比尔,比尔・盖茨
怀安,怀安县
R2,新R2：霸主
挑战者,挑战者号航天飞机
华中,华中地区
沙市市,荆州
milk,米尔克
ss,术士
巴特,尼基・巴特
王学,王学
神十,神舟十号飞船
死字,死文字
阿妹,张惠妹
486,菜月昴
魔羯座,摩羯座
拉登,乌萨马・本・穆罕默德・本・阿瓦德・本・拉丹
桑洲,桑洲镇
皇室,皇室家族
锐界,福特锐界
cd,克罗恩病
拜仁,拜仁慕尼黑足球俱乐部
海狗,林奕勋
rpg,角色扮演游戏
温江,温江区
狐狸狗,银狐犬
bs,B/S结构
恭亲王,和硕恭亲王
第四军医大学,中国人民解放军空军军医大学
爱丽丝,爱丽丝・滋贝鲁库
小萌,唯欣
rg,
鳄梨,牛油果
扶余,扶余国
咽痛,咽喉痛
丘吉尔,温斯顿・丘吉尔
肚脐眼,肚脐
蚍蜉撼大树,蚍蜉撼树
武山,武山县
历下,历下区
偶巴,OPPA
SC,星际争霸
kid,怪盗基德
马边,马边彝族自治县
巢湖市,巢湖
国家机密,国家秘密
武义,武义县
f1,世界一级方程式锦标赛
PAA,聚丙烯酸
BH,b型h系
法国队,法国国家男子足球队
丁浩,丁宇辰
单身男人,单身男子
浪子,燕青
瑞士银行,瑞士联合银行集团
搜狐公司,搜狐
基恩,罗伊・基恩
马克,马克・奥巴马・狄善九
pa,压强
凯尔,审判天使
son,颂恩・宋帕山
凉山,凉山彝族自治州
Pc,个人计算机
Pk,我的个神啊
安丘市,安丘
安吉,安吉县
梅西亚,皇家穆尔西亚足球俱乐部
宜州,宜州区
g4,北京－港澳高速公路
返老还童,本杰明・巴顿奇事
IM,智能制造
全局,变身杀人事件
豆花,豆腐花
火箭队,休斯敦火箭队
乌克兰队,乌克兰国家足球队
马西,安德鲁・马西
子路,仲由
赵子龙,赵云
ǖ,铀
湖人队,洛杉矶湖人队
司法部,中华人民共和国司法部
wcg,世界电子竞技大赛
mother,母亲
邺,邺城
翔龙,翔龙无人机
别离,纳德和西敏：一次别离
az,ALDNOAH.ZERO
惠氏,惠姓
彼得,圣伯多禄
甲午战争,中日甲午战争
冒失,怦然心动
新历,公元
塘厦,塘厦镇
唐伯虎,唐寅
三个代表,三个代表重要思想
利马,范德莱・科代罗・德・利马
Jr,朴珍荣
教育费,教育经费
包皮炎,包皮龟头炎
ipa,国际音标
fun,Fun.
法牛,法国斗牛犬
行车证,机动车行驶证
奥谢,约翰・弗朗西斯・奥谢
哈萨克,哈萨克族
三笑,江苏三笑集团有限公司
CK,沉珂
周公,周恩来
宝应,宝应县
黄网,黄色网站
kt,KT Rolster
04,铀
鹤山市,鹤山
刚需,刚性需求
Kitty,hello kitty
柯桥,柯桥区
卡里米,阿里・卡利米
Elly,阮金红
道人,道士
股份公司,股份有限公司
动画片,动画
wendy,孙承欢
夜魔侠,超胆侠
迈克尔,迈克尔・杰克逊
黑猫,五更琉璃
鄂,湖北
无双,无双鬼
怀柔县,怀柔区
肯尼迪,约翰・肯尼迪
领妹,领域外的妹妹
手雷,手榴弹
开提,肖开提・亚力昆
民法,中华人民共和国民法通则
鱼台,鱼台县
四川菜,川菜
汇丰,汇丰集团
七一,中国共产党建党日
iPhone6s,iPhone 6s
tt,Tizzy T
ec,欧洲共同体
Li,锂
冀,河北
苏妲己,妲己
科普,科学普及
LED,发光二极管
刀锋,鬼刃
左撇子,铁拳
天津泰达,天津泰达足球俱乐部
皇族,皇族电子竞技俱乐部
高新,高新技术企业
王牌,谁是卧底之王牌
罗密欧,罗密欧・贝克汉姆
卫生部,中华人民共和国卫生部
iphone6S,iPhone 6s
伦教,伦教街道
德隆,阿兰・德龙
ERP,企业资源计划
向阳,向洋
虎人,丹尼斯・阿夫纳
神童,申东熙
WAP,无线应用通讯协议
田园,田沅
萨拉,阿斯兰・萨拉
Npc,中华人民共和国全国人民代表大会
安全卫士,百度卫士
赵琳,赵子琪
西山居,金山软件公司西山居工作室
飞毛腿,飞毛腿导弹
Email,电子邮件
viP,V.I.P.
mc,镆
雅雅,孙丽雅
七七,做七
寒羽良,胗疴
乳罩,胸罩
科协,中国科学技术协会
热狗,MC Hotdog
伊辛巴耶娃,伊莲娜・伊辛巴耶娃
黛玉,林黛玉
Ww,疾风步
毫不利己,毫不利己，专门利人
黑格,亚历山大・梅格斯・黑格
阿鲁巴,磨柱
小乖,成宥利
海明威,欧内斯特・米勒尔・海明威
和谐社会,社会主义和谐社会
优酷,优酷网
大器,绝密543
iq,智商
卡萨,格沙
小五,金恩圣
大连市,大连
春妮,徐春妮
永嘉,永嘉县
二龙,二龙镇
护卫,剑士
hp,幽门螺杆菌
自卫队,日本自卫队
奉先,吕布
恶名,匪帮说唱传奇
同义词,百度百科：跳转关系
清政府,清朝
四大美女,中国古代四大美女
天明,荆天明
淮北市,淮北
黑丝,黑丝袜
卡耐基,戴尔・卡耐基
高要,高要区
邓华德,鲍勃・邓华德
大湖,洪泽湖
沙拉,宇智波佐良娜
浦东,浦东新区
F1,世界一级方程式锦标赛
金毛,金毛寻回犬
性虐待,性虐待症
吕梁市,吕梁
三爷,三笠・阿克曼
红小豆,赤豆
嬴政,秦始皇
天女,天女青儿
好心肠,一片好心
军事博物馆,中国人民革命军事博物馆
竹叶青,竹叶青蛇
女巫,witch
hcg,人绒毛膜促性腺激素
华尔街,华尔街：金钱永不眠
晋江市,晋江
ī,电流
依恋,衣恋
黑河市,黑河
天完,天完政权
小甜甜,布兰妮・斯皮尔斯
VR,虚拟现实
Jj,林俊杰
ud,特拉华大学
汪清,汪清县
德宏州,德宏傣族景颇族自治州
ATm,自动取款机
上交所,上海证券交易所
怀化市,怀化
仲尼,孔子
那斯,宇宙龙那斯
格拉斯,君特・格拉斯
流感,流行性感冒
水东,水东镇
南昌市,南昌
闽,福建
施恩,圣殇
全国人民代表大会,中华人民共和国全国人民代表大会
wap,无线应用通讯协议
M8,魅族m8
ABC,中国农业银行
GD,G-DRAGON
嘉兴市,嘉兴
琼华,琼华派
阿根廷共和国,阿根廷
mse,Microsoft Security Essentials
蝙蝠侠,布鲁斯・韦恩
,带
归根结底,归根结蒂
新会,新会区
c#,c语言
玛雅,Autodesk Maya
霸州市,霸州
vivox6plus,vivo X6 plus
荆州市,荆州
周期时间,菲波纳奇时间周期
民丰,民丰县
文娜,刘文娜
足总杯,英格兰足总杯
尼克,凯文・米特尼克
米哈,多尔・米哈
株洲市,株洲
Wechat,微信
银川市,银川
随份子,随礼
青蛤,环文蛤
包总,包奕凡
反光镜,反光镜乐队
花火,日向花火
竹溪,竹溪县
白学,白学家
斗斗,郭斗之
帝魔,十二神将
付款单,付款凭单
古墩,古墩村
x5,宝马X5
黄鹂,黄鹂属
听取意见,执法听证
hon,超神英雄
三天打鱼,三天打鱼，两天晒网
定日,定日县
东岳,泰山
延安市,延安
戈登,埃里克・戈登
苹,O
华强北,华强北商业区
鄂尔多斯市,鄂尔多斯
临西,临西县
梅拉,费尔南多・梅拉
S,乐
阳泉市,阳泉
秀英,秀英区
手部,手
圣地,夺命深渊
小鹿,郏捷
sg,史蒂文・杰拉德
居委会,居民委员会
三江,三江学院
决水,史河
梁勇,梁振伦
沙欣,努里・沙欣
维基,维基百科
龙港,龙港镇
米粉肉,粉蒸肉
8K,8K型电力机车
kf,氟化钾
玉林市,玉林
qvod,快播
民勤,民勤县
二十岁,二十
波斯尼亚,波斯尼亚和黑塞哥维那
千文,太极千字文
金箍棒,如意金箍棒
三台,飞段
东子,范景宇
chen,金钟大
东城,东城区
小赤,小智
大北农,大北农集团
皮肤过敏,敏感性皮肤
ic,帝国理工学院
persistence,持久化
白塔,北海白塔
果洛,果洛藏族自治州
摩拜,摩拜单车
流鼻血,鼻衄
依此类推,以此类推
coupon,孳息率
豪逸华庭,豪逸御华庭
肾病,慢性肾脏病
线切割,电火花线切割
同江市,同江
巴马,巴马瑶族自治县
初级中学,初中
黄蜂,新奥尔良鹈鹕队
西西里,西西里岛
松江,松江区
无锡市,无锡
涓涓,宋祖儿
巴蒂,加布里埃尔・巴蒂斯图塔
杨浦,杨浦区
总代,总代理
登封市,登封
请帖,请柬
新塘,新塘镇
雀巢,雀巢公司
港仔,王嘉龙
兴国,兴国县
戏言,戏言系列
DK,死亡骑士
静止,相对静止
农资,农用物资
歌见,唱见
卡二,夏洛特・卡塔库栗
星云,释星云
苍,六弦之首・苍
乳酪,奶酪
成电,电子科技大学
pet,聚对苯二甲酸乙二醇酯
宁河县,宁河区
马刺,圣安东尼奥马刺队
江高,江高镇
喜临门,喜临门家具股份有限公司
NG,硝化甘油
西昌市,西昌
长兴,长兴县
CR,流动比率
cib,刑事情报科
百分之九,NINE PERCENT
质监局,质量技术监督局
领馆,领事馆
au,Adobe Audition
窦,窦姓
am,丙烯酰胺
得力,得力集团有限公司
潜力,潜在能力
双桥,双桥区
zz,宇智波佐助
kd,凯文・杜兰特
哈市,哈尔滨
宜昌市,宜昌
武宁,武宁县
牛皮癣,寻常型银屑病
邢,邢台
兜兜,吴晶晶
北斗,北斗卫星导航系统
奇艺,爱奇艺
林子,程晓东
永和,永和豆浆
出境游,出境旅游
脑血栓,脑血栓形成
环保部,中华人民共和国环境保护部
梅州市,梅州
孔氏,孔姓
水落石出,水落石出4
偃师市,偃师
雅安市,雅安
mod,游戏模组
小S,徐熙娣
手纸,卫生纸
岳阳市,岳阳
东航,中国东方航空股份有限公司
广平,广平县
安省,安大略省
酸爽,这酸爽
奉节,奉节县
马列主义,马克思列宁主义
灶神,赫斯提亚
穆雷,安迪・穆雷
慕,慕姓
成人片,色情片
Dc,DC漫画
孟氏,孟姓
彬县,彬州
ù,铀
911,9・11事件
统战,统一战线
纣,帝辛
PR,adobe premiere
miss,韩懿莹
五步蛇,尖吻蝮
建兴,建兴镇
程序安装,安装程序
政协会议,中国人民政治协商会议
艾特,高踩
xXx,极限特工
西工大,西北工业大学
惠南,惠南镇
大叶芹,短果茴芹
微信码,微信二维码
石城,石城县
奶牛,罗杰・费德勒
哈克,哈库
转基因,转基因技术
羊肉汤,羊汤
高密市,高密
电鬼,洛托姆
巴拉克,迈克尔・巴拉克
iPhone6splus,iPhone 6s Plus
呕气,怄气
3M,3M公司
ViP,V.I.P.
你死我活,电锯惊魂
万卡,凡卡
津,天津
乐山市,乐山
翟,翟姓
沧州市,沧州
和龙市,和龙
福鼎市,福鼎
吴中,吴中区
淫语,淫词秽语
荷尔蒙,激素
Angel,立华奏
贵港市,贵港
劳疾,积劳成疾
Silver,银
章子,匡章
youku,优酷网
厦大,厦门大学
麦克斯,麦克斯・奥特曼
太白,李白
兰兰,刘德林
笔笔,周笔畅
小丑,唐吉诃德・多弗朗明哥
老君,太上老君
锋范,本田锋范
Qe,量化宽松
萨伊,让・巴蒂斯特・萨伊
白头翁,白头鹎
沃尔,约翰・沃尔
喀什米尔,克什米尔
泗门,泗门镇
福冈,福冈县
故障率,失效率
小风,彩风凉
LA,洛杉矶
钱眼,平安是福
沙井镇,沙井街道
Seven,七宗罪
板桥,板桥区
东阿,东阿县
雷霆,俄克拉荷马城雷霆队
怀特,詹姆斯・怀特
卡特,詹姆斯・厄尔・卡特
sr,锶
成昆线,成昆铁路
其他支出,其他业务支出
朝阳市,朝阳
总结经验,经验总结法
三思,三思乡
恒生,恒生电子股份有限公司
老徐,徐静蕾
甘醇,乙二醇
南宫市,南宫
r,汉江怪物
公则,郭图
mma,综合格斗
茫崖,茫崖镇
鹌鹑,鹌鹑属
阳春市,阳春
朱子,朱熹
美女蛇,美女蛇之吻
ps4,playstation 4
伯仁,常遇春
克拉拉,李成敏
南充市,南充
醋酸,乙酸
港城,秦皇岛
拜尔,约翰・拜耳
债基,债券基金
zg,祖尔格拉布
楚雄州,楚雄彝族自治州
常德市,常德
维语,维吾尔语
新田,新田县
平山,平山县
慕斯,慕斯蛋糕
长春市,长春
晨风,国风・秦风・晨风
华北,华北地区
优步,Uber
视频卡,视频采集卡
西峰,西峰区
津南,津南区
共青团,中国共产主义青年团
啦啦队,拉拉队
印尼,印度尼西亚
rh,铑
人民广场,上海人民广场
云苓,茯苓
下田,下田市
目连,目犍连
MIUI8,MIUI 8
modal,莫代尔
文胸,胸罩
老五,刘义军
中纪委,中国共产党中央纪律检查委员会
董总,马来西亚华校董事联合会总会
jp,太平绅士
eminem,埃米纳姆
张航,养鸡
阿迪达斯,adidas
姓要,要姓
film,拉塔浦・朵空萨
绿城,南京
地下通道,地下铁
哥哥妹妹,JS
朔州市,朔州
邴,邴姓
田七,三七
克鲁斯,马克斯・克鲁泽
货贝,黄宝螺
杂多,杂多县
交强险,机动车交通事故责任强制保险
微断,微型断路器
卡普空,CAPCOM
多尔,托马斯・多尔
吕览,吕氏春秋
虹桥,虹桥镇
渡口,攀枝花
吉普,吉普车
工口,情色
Pad,胸垫
博白,博白县
老龄化,人口老龄化
近在咫尺,近在咫尺的爱恋
国营企业,国有企业
努尔,穆罕默德・努尔
qB,Q币
vIP,V.I.P.
情仇,色欲情仇
Mary,布鲁・玛丽
百色市,百色
芳烃,芳香烃
万方,万方数据库
D版,盗版
复合肥料,复合肥
吉林市,吉林
彪马,PUMA
木拉提,木拉提・阿地里江
西特,希特
word,Microsoft Office Word
IC,帝国理工学院
nh,b
三明市,三明
CV,航空母舰
罗湖,罗湖区
p2P,对等网络
Wp,Windows Phone
蒙古,蒙古国
海心,海鑫
七宝,七宝古镇
楚雄市,楚雄
icbc,中国工商银行
泰姬,阿姬曼・芭奴
揽胜,路虎揽胜
秃头,脱发
潍坊市,潍坊
炎魔,五河琴里
克劳福德,贾马尔・克劳福德
rav4,丰田RAV4
C1,C1驾驶证
DE,沙漠之鹰
狼籍,狼藉
和悦,江淮和悦
不成方圆,不以规矩，不能成方圆
合浦,合浦县
山地车,山地自行车
法塔赫,巴勒斯坦民族解放运动
街霸,街头霸王
龙文,龙文区
晋城市,晋城
新线,新线电影公司
餐饮企业,中国餐饮百强企业
金安,金安区
白城市,白城
月儿,高月
关公,关羽
昌平,昌平区
大通,大通回族土族自治县
orange,Orange Caramel
广西壮族自治区,广西
原配,元配
均线,移动平均线
白夜,白夜追凶
dy,镝
皇姑,皇姑区
上大,上海大学
Nick,尼克
侦探,侦探：TheBeginning
纠缠,鬼迷心窍
VIp,V.I.P.
防城港市,防城港
push,普提查・克瑟辛
修文,修文县
倪,倪姓
供销社,中华全国供销合作总社
VOA,美国之音广播电台
ED,英雄传说
张敏华,张智敏
鸿门宴,鸿门宴传奇
开封市,开封
临夏,临夏回族自治州
卢卡斯,乔治・卢卡斯
酒驾,酒后驾驶
乌鲁木齐市,乌鲁木齐
第七日,第七天
弗利,凯文・弗利
Mate8,华为Mate8
艾斯,艾斯・奥特曼
Ld,镭射影碟
旧港,巨港
呢料,呢子
Vip,V.I.P.
鄂州市,鄂州
通化市,通化
奥赛,奥林匹克竞赛
慈溪市,慈溪
中国移动通信,中国移动通信集团有限公司
BS,B/S结构
优胜,优胜教育
H,华氏度
足协,足球协会
BBC,英国广播公司
布政使,承宣布政使
东沙,东沙群岛
DELL,戴尔公司
SGS,瑞士通用公证行
裂变,核裂变
,气
人在江湖,古惑仔之人在江湖
解放碑,重庆解放碑
宁河,宁河区
EZ,探险家
blog,博客
08,安培
戴尔,戴尔公司
指控,被控者
古剑,古剑奇谭
牛郎,牛郎星
噪声,噪音
关麓,关麓村
绩溪,绩溪县
David,克雷格・大卫
p2,车库惊魂
隆子,隆子县
五台,五台县
鬼会,大班会
保利,中国保利集团有限公司
太和,太和县
神农,炎帝
李薇薇,李微微
ms,微软
沈河,沈河区
晋中市,晋中
民和,民和回族土族自治县
罗平,罗平县
JOJO,乔纳森・乔斯达
布吉镇,布吉街道
扬州市,扬州
白银市,白银
北野,殷谦
服务程序,服务性程序
比利,比利・凯恩
行者,孙悟空
CPU,中央处理器
飞人,小超人帕门
式微,国风・邶风・式微
CPI,消费物价指数
bf,黑羽
win10,Windows 10
相助,帮助
成教,成人教育
坛经,六祖坛经
水哥,王昱珩
飞度,本田飞度
金土,琴・槌
神农架,神农架林区
织金,织金县
kong,萨哈拉・桑卡布理查
豆鼓,豆豉
永定,永定区
瑞典队,瑞典国家足球队
大荔,大荔县
常宁市,常宁
离石,离石区
451,451错误
hiphop,嘻哈
楚雄,楚雄彝族自治州
专升本,专升本考试
天佑,李天佑
易迅,易迅网
ETF,交易型开放式指数基金
商战,名门暗战
搭桥,心脏搭桥手术
呼兰,呼兰区
惠东,惠东县
格瓦拉,格瓦拉生活网
阿德勒,阿尔弗雷德・阿德勒
十三岁,芳龄十三
les,女同性恋
铁人,托尼・史塔克
鸟类,鸟纲
大鼎,西周大鼎
朱迪,朱迪・霍普斯
sj,Super Junior
Andrew,Andrew Charlie Gregson
公历,公元
昌黎,昌黎县
燕菜,洛阳燕菜
群马,群马县
洞口,洞口县
南油,深圳南油（集团）有限公司
凌志,雷克萨斯
iSO,国际标准化组织
费控,成本费用控制
苏军,苏联红军
乌海市,乌海
ra,类风湿关节炎
高会,高级会计师考试
洗发液,洗发水
优良作风,作风优良
党中央,中国共产党中央委员会
平和,平和县
安顺市,安顺
mate8,华为Mate8
蜀,四川
迷幻,恍惚
英德市,英德
鲁本斯,彼得・保罗・鲁本斯
吴嘉丽,吴家丽
港币,港元
闵行,闵行区
刨根问底,青少年警队
赵氏,赵姓
ā,安培
遂宁市,遂宁
question,问者
大关,大关县
小步,亚由
灌云,灌云县
开放市场,市场开放度
天胡,天和
裴,裴姓
á,安培
闵,闵姓
大厨,落魄大厨
两万五千里长征,长征
连江,连江县
横店,横店镇
枸橼酸,柠檬酸
卧龙,诸葛亮
地税局,地方税务局
中网,中国网球公开赛
巨石,道恩・强森
福山,福山区
G20,20国集团
李杰,李晔
红莲,赤练
正月十五,元宵节
改车,改装车
嘉陵,嘉陵区
塔城,塔城地区
PU,聚氨酯材料
陈阳,晨阳
games,游戏
公安部,中华人民共和国公安部
嫌疑人,疑犯追踪
李锋,李丞峰
临沂市,临沂
PET,聚对苯二甲酸乙二醇酯
淄博市,淄博
万二蚊,万绮雯
郴州市,郴州
老梁,梁宏达
sara,姜世花
平谷,平谷区
国信,国信证券股份有限公司
五河,五河县
南川,南川区
mate7,华为Mate7
左丘,左丘姓
国家电网,国家电网有限公司
邵,邵姓
à,安培
主席令,中华人民共和国主席令
港剧,香港电视剧
前怕狼后怕虎,前怕狼，后怕虎
西乡,西乡县
思锐,比亚迪思锐
gay,男同性恋
高比,科比・布莱恩特
lp,线性规划
Huawei,华为技术有限公司
群面,无领导小组讨论
东营市,东营
现货交易,即期外汇交易
汉沽,汉沽区
央企,中央企业
监视,监视者们
库里,斯蒂芬・库里
14k,十四K
鸵鸟,非洲鸵鸟
瑞文,放逐之刃
渭南市,渭南
南关,南关区
安阳市,安阳
ICBC,中国工商银行
赚米,米赚
gd,G-DRAGON
平遥,平遥县
贝儿,陆雨萱
一飞冲天,我是机器人
优秀团员,优秀共青团员
IPhone7Plus,iPhone 7 Plus
闯荡江湖,出位江湖
天动,朴尚玄
苏果,苏果超市
k2,THE K2
陇西,陇西县
佟,佟姓
